회사명,업종 (대),업종 (소),순이익 21년 1Q,순이익 20년 4Q,순이익 20년 3Q,코드 번호
삼성중공업,조선,조선,"-5,342 ","-5,511 ",-55 ,A010140
SK이노베이션,석유 및 가스,정유,"-3,762 ","-2,393 ",-237 ,A096770
아시아나항공,운송 및 물류,항공운송,"-3,194 ","1,670 ",255 ,A020560
대우조선해양,조선,조선기자재,"-2,347 ","-1,782 ",-292 ,A042660
CJ CGV,미디어 및 엔터,영화,-918 ,"-2,964 ","-1,004 ",A079160
쌍용차,자동차 및 관련부품,완성차,-863 ,"-1,995 ","-1,024 ",A003620
에어부산,운송 및 물류,항공운송,-855 ,74 ,-303 ,A298690
제주항공,운송 및 물류,항공운송,-794 ,-377 ,-668 ,A089590
진에어,운송 및 물류,항공운송,-721 ,-395 ,-461 ,A272450
한진칼,지주사,지주사,-701 ,884 ,-637 ,A180640
JTC,유통,면세점,-585 ,-150 ,-190 ,A950170
롯데관광개발,레저산업,레저,-544 ,-470 ,-107 ,A032350
대한항공,운송 및 물류,항공운송,-537 ,"4,267 ",-293 ,A003490
티웨이항공,운송 및 물류,항공운송,-494 ,-205 ,-323 ,A091810
롯데쇼핑,유통,백화점,-412 ,"-4,535 ",-218 ,A023530
강원랜드,레저산업,카지노,-409 ,-333 ,-409 ,A035250
한진중공업,조선,조선,-406 ,-267 ,407 ,A097230
하나투어,레저산업,여행,-380 ,-666 ,-277 ,A039130
GKL,레저산업,카지노,-374 ,-327 ,-228 ,A114090
AK홀딩스,지주사,지주사,-283 ,-140 ,-315 ,A006840
티웨이홀딩스,지주사,지주사,-269 ,-126 ,-198 ,A004870
이에스에이,미디어 및 엔터,게임,-261 ,-66 ,-7 ,A052190
휴온스블러썸,가정용품,화장품,-249 ,-105 ,-63 ,A263920
젠큐릭스,의료기기 및 용품,의료기기,-237 ,356 ,9 ,A229000
대웅제약,제약 및 바이오,제약,-231 ,176 ,24 ,A069620
리더스 기술투자,금융,기타 금융,-224 ,279 ,-25 ,A019570
에이치엘비,제약 및 바이오,바이오,-184 ,-226 ,39 ,A028300
파라다이스,레저산업,카지노,-182 ,-675 ,-163 ,A034230
우진,기계,기계,-177 ,281 ,133 ,A105840
